name,gender,preference,rank2Preference,rank3Preference,expertise_01,expertise_02,expertise_03,expertise_04,expertise_05,expertise_06,expertise_07,expertise_08,expertise_09,expertise_10,expertise_11,expertise_12,expertise_13,expertise_14,expertise_15,expertise_16,expertise_17,expertise_18,expertise_19,expertise_20
F01,Female,P5P6,P3P4,NONE,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
F02,Female,P5P6,P3P4,NONE,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0
F03,Female,P5P6,P3P4,NONE,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
F04,Female,P5P6,P3P4,NONE,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
F05,Female,P5P6,P3P4,NONE,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
F06,Female,P5P6,P3P4,NONE,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
F07,Female,P5P6,P3P4,NONE,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
F08,Female,P5P6,P3P4,NONE,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0
F09,Female,P5P6,P3P4,NONE,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1
F10,Female,P5P6,P3P4,NONE,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0
F11,Female,P5P6,P3P4,NONE,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
F12,Female,P3P4,P1P2,P5P6,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
F13,Female,P3P4,P1P2,P5P6,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0
F14,Female,P3P4,P1P2,P5P6,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
F15,Female,P3P4,P1P2,P5P6,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0
F16,Female,P1P2,P5P6,P3P4,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
F17,Female,P1P2,P5P6,P3P4,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
F18,Female,P1P2,P5P6,P3P4,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
F19,Female,P1P2,P5P6,P3P4,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
F20,Female,P1P2,P5P6,P3P4,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
M01,Male,P5P6,P3P4,NONE,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0
M02,Male,P5P6,P3P4,NONE,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
M03,Male,P5P6,P3P4,NONE,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
M04,Male,P3P4,P5P6,NONE,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1
M05,Male,P3P4,P5P6,NONE,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
M06,Male,P3P4,P5P6,NONE,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
M07,Male,P1P2,P3P4,P5P6,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
M08,Male,P1P2,P3P4,P5P6,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
M09,Male,P1P2,P3P4,P5P6,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
M10,Male,P1P2,P3P4,P5P6,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
M11,Male,P5P6,P1P2,P3P4,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
M12,Male,P3P4,P1P2,P5P6,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
M13,Male,P3P4,P1P2,P5P6,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
M14,Male,P5P6,P1P2,P3P4,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
M15,Male,P1P2,P5P6,P3P4,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
M16,Male,P3P4,P5P6,P1P2,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
